key,first,second,third
kxIxqi,gCGiKfUucn,mAnpkZeFSSO,dSZXfEAjj,"[4, 0]"
xKAnRnFoOQ,JnxDKM,yoRDHK,KXXSXcXLF,"[13, 0]"
CeBIQ,VNmJZl,UQpaF,RtgWnkJbbEc,"[2, 0]"
lJzSrVIB,GXdkIhvBrs,uweIYJQNRf,hdpJPMRR,"[14, 2]"
gFlCiIiBVcB,sCDtgfS,WdIyDONG,pSrVjXZrH,"[29, 10]"
LxGDqqZ,IODqs,fKCmp,HUpTgDMJKx,"[9, 0]"
DxRdJWNmd,MHJPk,sTjpqYzN,QJhJhrwMr,"[19, 3]"
SQtZs,jKfxpOESxEp,Wnegx,eLvXn,"[10, 0]"
yciWk,LIPZVIRk,IkgfjmHbYDZ,AaCgMixIj,"[24, 8]"
fZsKaE,SIlfDtYZ,nksNrIkYF,apzcViBkEGF,"[12, 0]"
cbCuGXCvcZ,pWUTtagbbDY,gEmpKXw,MgQeLSR,"[28, 10]"
XLFZNs,KtGGc,wuPyKPgp,nDMBXXi,"[7, 0]"
lCnSVkWvYQH,Wdzglgqts,JVZqXZJSl,VihzT,"[23, 8]"
YoJXtlo,WLERWsl,mXIFHDTcYlt,FUWHuUK,"[5, 0]"
dsbSh,eGAlHZbF,TjXuXagexq,AFObMJ,"[15, 3]"
VumGeO,bZOnaRXxC,XONqWKnL,SHYGyqruEk,"[16, 3]"
WYZFdJ,MyDyKPcFsFq,pSMmpbGH,GEiraZ,"[30, 11]"
BMohi,RHdbQxMms,HkXfxdtxyN,NyZEnxrvQL,"[20, 6]"
wojxbHJmZbe,jfIwXpjnXZs,WaFUnwOj,bMDMz,"[1, 0]"
ySedKZkMn,ePCRfWhvD,WFRphOmOKS,BQSvPDi,"[37, 20]"
CSdBVj,doFliFEi,bzvhdbhmyBZ,BHJYMNZYWek,"[38, 20]"
Oopqv,RCZhsRTej,PYwVAqYMIf,rvJYBHL,"[25, 8]"
TEjEwxJH,wDBeefwgW,WKDDLZv,mczGqGj,"[6, 0]"
dEKDGy,bvwWQQOoQp,NMqPbna,lYhnPfJSixN,"[33, 15]"
wlNygpOzYGk,LiNHUSyK,psoum,qpSwkZ,"[3, 0]"
MoltrWJWjR,xVZuQmqh,DKAroRs,PIZfzfLz,"[22, 7]"
Zedaoy,FvqlnzBybS,woRGivalD,QCDDdMFOTB,"[36, 17]"
qkrPudu,mvPQK,JFAWQ,vypQqjoCNy,"[32, 14]"
THuAcu,rKbAQQGTlP,idPmoTZNnAm,ctzcYHit,"[17, 3]"
TFETlUXW,hTofjPwq,rHOut,urVRY,"[40, 20]"
FdtcI,XWJBs,pOQVLFrMQE,qJHHJz,"[18, 3]"
qizNkkVfr,UdLWR,koizixHr,zWQHOGnNc,"[11, 0]"
PuvONTt,ZMiqDmbYZE,lPCfRV,COvFkl,"[27, 9]"
JcwmN,qxwCXtdfd,wUsRN,hfQvLgFlh,"[8, 0]"
GXPHrgN,cYaiw,WenAW,cxoFTRlMujJ,"[35, 15]"
drwfmRmo,ReQMZYUmi,EgQtiwKetRW,YjbfE,"[26, 8]"
faAONvE,JUvuZGD,IsslOpFUMv,mYOGVqKXHl,"[31, 11]"
WalRyfaDwLi,bVFYQ,NXEKsXdRR,PRlki,"[21, 6]"
hkStu,HgwILOPP,kSxttaxzz,avLLrNZnpL,"[34, 15]"
BqmXbT,CxFZSFFijd,QsoSleClYxx,AtnxgwPU,"[39, 20]"
